ID,contourArea,areaPercDiff,aspectRatio,momentLocDiff,localX,localY,label,Z,Y
76,445.5,28.55769,0.975,37.34007,26.73663,10.60344,no_vortex,590.4836,223.3017
77,1355,29.22778,0.802632,43.18832,24.26507,18.92325,vortex,590.3895,226.9616
78,279.5,26.2688,1.357143,50.81515,22.58021,28.23494,no_vortex,595.5325,243.7349
79,804,24.25339,0.784615,62.92081,10.80742,52.11339,no_vortex,595.3889,243.5567
80,235.5,28.86029,0.705882,26.02052,15.48409,10.53644,vortex,594.5322,224.7682
81,214,71.33333,0.75,22.51558,16.68536,5.830215,vortex,591.7697,220.4151
82,1238.5,32.53218,1.723404,68.4395,0.118958,68.32054,no_vortex,599.9445,253.6603
83,null,null,null,null,null,null,null,null,null
84,597,55.53488,0.581395,36.64545,26.80933,9.836121,vortex,590.7933,223.9181
85,761,63.41667,0.520833,39.21945,27.24748,11.97197,vortex,590.8295,225.986
86,720,32.66788,2.62069,156.7245,48.63033,108.0942,no_vortex,577.6575,275.5471
87,322.5,40.01241,1.192308,70.90646,23.09096,47.81551,no_vortex,590.4933,247.9077
88,223.5,48.37662,1.047619,71.91126,19.72409,52.18716,no_vortex,590.1379,251.0936
89,523,29.64853,0.444444,16.73422,4.041107,12.69312,no_vortex,603.5341,238.6931
90,3254,30.35448,2.38806,93.98991,65.88553,28.10439,no_vortex,575.3003,244.6044
91,259,41.11111,0.514286,59.10297,10.94981,48.15315,no_vortex,594.3061,274.6531
92,3566.5,29.62209,1.627907,69.35824,42.72891,26.62933,no_vortex,579.4234,254.6293
93,383.5,67.2807,0.633333,25.19904,19.87701,5.322029,vortex,588.5314,233.822
94,null,null,null,null,null,null,null,null,null
95,3265.5,23.04842,1.829545,50.41877,23.98913,26.42964,no_vortex,586.7858,254.9296
96,212.5,21.08135,0.777778,74.07529,66.3945,7.680786,no_vortex,633.1317,220.8192
97,217,21.19141,1,13.58064,5.079102,8.501537,no_vortex,600.1919,220.9985
98,231.5,27.95894,0.638889,113.612,91.15911,22.45284,no_vortex,548.5779,252.4529
99,203,26.12613,0.567568,83.2931,46.7578,36.5353,no_vortex,623.6258,269.0353
100,5433,22.35803,3.703704,53.05679,27.32607,25.73072,no_vortex,613.6185,261.2307
101,1043,21.22507,1.685185,131.1833,104.5423,26.64094,no_vortex,659.9681,242.6409
102,1162,30.09583,2.538461,46.98408,39.50416,7.479919,no_vortex,579.7212,230.0201
103,830.5,26.07535,2.6,119.475,74.86855,44.60646,no_vortex,637.1838,282.6064
104,null,null,null,null,null,null,null,null,null
105,754,26.43759,2.967742,136.5462,32.55836,103.9878,no_vortex,582.1976,295.4939
106,458,26.94118,2.72,159.0338,14.61354,144.4203,no_vortex,593.7906,316.7101
107,null,null,null,null,null,null,null,null,null
108,null,null,null,null,null,null,null,null,null
109,null,null,null,null,null,null,null,null,null
110,null,null,null,null,null,null,null,null,null
111,null,null,null,null,null,null,null,null,null
112,668,25.24565,3.62963,113.23,78.82185,34.40818,no_vortex,561.097,266.9082
113,null,null,null,null,null,null,null,null,null
114,null,null,null,null,null,null,null,null,null
115,null,null,null,null,null,null,null,null,null
116,null,null,null,null,null,null,null,null,null
117,null,null,null,null,null,null,null,null,null
118,null,null,null,null,null,null,null,null,null
119,null,null,null,null,null,null,null,null,null
120,5971.5,23.92428,2.708333,29.57735,19.38678,10.19058,no_vortex,596.2726,227.1906
121,null,null,null,null,null,null,null,null,null
122,null,null,null,null,null,null,null,null,null
123,null,null,null,null,null,null,null,null,null
124,null,null,null,null,null,null,null,null,null
125,null,null,null,null,null,null,null,null,null
126,null,null,null,null,null,null,null,null,null
127,null,null,null,null,null,null,null,null,null
128,null,null,null,null,null,null,null,null,null
129,null,null,null,null,null,null,null,null,null
130,null,null,null,null,null,null,null,null,null
131,4775,20.17322,2.922222,9.554443,2.070465,7.483978,no_vortex,606.1456,224.484
132,null,null,null,null,null,null,null,null,null
133,null,null,null,null,null,null,null,null,null
134,null,null,null,null,null,null,null,null,null
135,null,null,null,null,null,null,null,null,null
136,null,null,null,null,null,null,null,null,null
137,null,null,null,null,null,null,null,null,null
138,null,null,null,null,null,null,null,null,null
139,null,null,null,null,null,null,null,null,null
140,null,null,null,null,null,null,null,null,null
141,null,null,null,null,null,null,null,null,null
142,null,null,null,null,null,null,null,null,null
143,null,null,null,null,null,null,null,null,null
144,null,null,null,null,null,null,null,null,null
145,null,null,null,null,null,null,null,null,null
146,null,null,null,null,null,null,null,null,null
147,null,null,null,null,null,null,null,null,null
148,null,null,null,null,null,null,null,null,null
149,null,null,null,null,null,null,null,null,null
150,null,null,null,null,null,null,null,null,null
151,null,null,null,null,null,null,null,null,null
152,null,null,null,null,null,null,null,null,null
153,null,null,null,null,null,null,null,null,null
154,null,null,null,null,null,null,null,null,null
155,null,null,null,null,null,null,null,null,null
156,null,null,null,null,null,null,null,null,null
157,224,28.07018,0.452381,91.17188,22.46057,68.7113,no_vortex,630.1309,212.4519
158,1171.5,26.83234,1.254237,78.40105,61.74435,16.65671,vortex,611.0616,211.3795
159,274.5,20.10989,0.897436,24.85915,4.552521,20.30663,vortex,612.2716,209.1156
160,1447,68.41608,0.957447,30.85429,0.329071,30.52522,vortex,609.0527,207.9125
161,1110.5,23.63772,1.611111,54.40356,2.072189,52.33138,no_vortex,606.8523,223.9663
162,1093.5,31.07417,0.73913,4.449013,1.023926,3.425087,no_vortex,601.8157,211.315
163,1468.5,31.88233,1.918367,73.62798,11.79651,61.83147,no_vortex,607.3481,224.3052
164,307.5,31.76653,0.5,95.98644,57.03577,38.95067,no_vortex,596.5644,220.4918
165,3630,69.06393,1.013889,65.0023,30.71405,34.28825,vortex,610.5166,207.7853
166,1061,38.27561,1.431818,24.51571,7.770813,16.7449,vortex,606.7692,210.7092
167,1234.5,24.51837,1.792453,111.7749,7.285263,104.4897,no_vortex,605.8356,233.8979
168,3392.5,73.51029,1.092308,29.12135,10.02206,19.09929,vortex,607.2037,210.1801
169,4297,74.4456,0.948718,32.68974,9.775574,22.91416,vortex,607.0967,210.181
170,1760.5,64.34576,1.1875,32.86755,12.769,20.09855,vortex,606.6707,209.9803
171,1833.5,61.11667,1.2,37.15272,15.73903,21.41369,vortex,606.7281,209.7173
172,3294.5,70.84946,1.209677,40.47528,19.77295,20.70233,vortex,606.5591,209.8595
173,3427.5,69.38259,1.169231,41.05669,18.72249,22.33421,vortex,606.3701,209.5332
174,611,20.88175,2.026316,114.8224,8.643478,106.1789,no_vortex,604.0847,234.7358
175,235.5,30.98684,0.526316,71.12101,35.60085,35.52016,no_vortex,596.5919,221.604
176,733,25.38089,2,66.08345,12.8804,53.20305,no_vortex,605.3185,225.6406
177,232,27.61905,0.47619,86.89153,79.4138,7.477737,no_vortex,589.9996,214.5045
178,237,69.70588,1.176471,13.04431,1.492264,11.55205,vortex,606.7039,209.8497
179,312.5,34.68369,3.117647,115.0011,15.91519,99.08586,no_vortex,605.3117,235.8172
180,240,20.37351,1.225806,126.2813,9.679871,116.6014,no_vortex,601.9835,234.9336
181,3497.5,72.41201,1.014493,37.3339,12.81911,24.51479,vortex,605.5938,210.9142
182,3889,71.03196,1.027397,37.00172,10.1299,26.87182,vortex,605.5532,210.5214
183,321,66.875,1.2,41.88785,11.31879,30.56906,vortex,605.7355,209.4052
184,5752,65.1047,1.021505,21.09162,1.229401,19.86222,vortex,604.1885,211.6896
185,3039,24.80816,0.784,12.83378,11.21263,1.621147,no_vortex,605.2567,214.2298
186,215.5,20.94266,0.428571,96.17941,27.80278,68.37663,no_vortex,607.8558,225.8961
187,321.5,63.53755,1.045455,44.37222,15.65526,28.71696,vortex,605.4005,208.7138
188,1904.5,44.45612,1.079365,28.25745,10.2375,18.01995,vortex,604.5698,209.4967
189,null,null,null,null,null,null,null,null,null
190,665.5,32.18085,1.068182,8.219887,0.276733,7.943153,vortex,602.5397,212.1761
191,665,28.97604,1.133333,11.30778,2.307526,9.000252,vortex,602.6769,212.7142
192,329.5,36.48948,2.047619,19.41325,7.534637,11.87861,vortex,603.6302,213.5202
193,5100.5,40.36483,0.923077,7.025131,4.713852,2.311279,no_vortex,602.27,216.1148
194,437,32.7832,1.387097,27.7502,9.866516,17.88368,vortex,602.7102,212.9233
195,null,null,null,null,null,null,null,null,null
196,null,null,null,null,null,null,null,null,null
